mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394505,13,13113,2019,09,1,0,13668
53394505,13,13113,2019,09,1,1,7961
53394505,13,13113,2019,09,1,2,11584
53394505,13,13113,2019,09,2,0,13998
53394505,13,13113,2019,09,2,1,7600
53394505,13,13113,2019,09,2,2,11106
53394506,13,13113,2019,09,0,0,49005
53394506,13,13113,2019,09,0,1,11093
53394506,13,13113,2019,09,0,2,27279
53394506,13,13113,2019,09,1,0,53556
53394506,13,13113,2019,09,1,1,12355
53394506,13,13113,2019,09,1,2,32446
53394506,13,13113,2019,09,2,0,51887
53394506,13,13113,2019,09,2,1,11893
53394506,13,13113,2019,09,2,2,30552
53393585,13,13113,2019,10,0,0,31885
53393585,13,13113,2019,10,0,1,23655
53393585,13,13113,2019,10,0,2,28268
53393585,13,13113,2019,10,1,0,82328
53393585,13,13113,2019,10,1,1,26449
53393585,13,13113,2019,10,1,2,54154
53393585,13,13113,2019,10,2,0,66056
53393585,13,13113,2019,10,2,1,25548
53393585,13,13113,2019,10,2,2,45804
53393586,13,13113,2019,10,0,0,33405
53393586,13,13113,2019,10,0,1,17416
53393586,13,13113,2019,10,0,2,25340
53393586,13,13113,2019,10,1,0,79292
53393586,13,13113,2019,10,1,1,20370
53393586,13,13113,2019,10,1,2,50387
53393586,13,13113,2019,10,2,0,64490
53393586,13,13113,2019,10,2,1,19417
53393586,13,13113,2019,10,2,2,42307
53393595,13,13113,2019,10,0,0,58118
53393595,13,13113,2019,10,0,1,26204
53393595,13,13113,2019,10,0,2,44668
53393595,13,13113,2019,10,1,0,83009
53393595,13,13113,2019,10,1,1,24120
53393595,13,13113,2019,10,1,2,56846
53393595,13,13113,2019,10,2,0,74980
53393595,13,13113,2019,10,2,1,24792
53393595,13,13113,2019,10,2,2,52917
53393596,13,13113,2019,10,0,0,70621
53393596,13,13113,2019,10,0,1,17915
53393596,13,13113,2019,10,0,2,43468
53393596,13,13113,2019,10,1,0,129765
53393596,13,13113,2019,10,1,1,22643
53393596,13,13113,2019,10,1,2,79558
53393596,13,13113,2019,10,2,0,110686
53393596,13,13113,2019,10,2,1,21118
53393596,13,13113,2019,10,2,2,67916
53394505,13,13113,2019,10,0,0,12924
53394505,13,13113,2019,10,0,1,6711
53394505,13,13113,2019,10,0,2,9402
53394505,13,13113,2019,10,1,0,12903
53394505,13,13113,2019,10,1,1,7123
53394505,13,13113,2019,10,1,2,10831
53394505,13,13113,2019,10,2,0,12910
53394505,13,13113,2019,10,2,1,6990
53394505,13,13113,2019,10,2,2,10370
53394506,13,13113,2019,10,0,0,38980
53394506,13,13113,2019,10,0,1,10975
53394506,13,13113,2019,10,0,2,23177
53394506,13,13113,2019,10,1,0,50538
53394506,13,13113,2019,10,1,1,12359
53394506,13,13113,2019,10,1,2,31133
53394506,13,13113,2019,10,2,0,46809
53394506,13,13113,2019,10,2,1,11913
53394506,13,13113,2019,10,2,2,28567
53393585,13,13113,2019,11,0,0,34575
53393585,13,13113,2019,11,0,1,24524
53393585,13,13113,2019,11,0,2,30344
53393585,13,13113,2019,11,1,0,81819
53393585,13,13113,2019,11,1,1,27810
53393585,13,13113,2019,11,1,2,54747
53393585,13,13113,2019,11,2,0,66071
53393585,13,13113,2019,11,2,1,26714
53393585,13,13113,2019,11,2,2,46613
53393586,13,13113,2019,11,0,0,40205
53393586,13,13113,2019,11,0,1,18633
53393586,13,13113,2019,11,0,2,29285
53393586,13,13113,2019,11,1,0,80166
53393586,13,13113,2019,11,1,1,21611
53393586,13,13113,2019,11,1,2,51469
53393586,13,13113,2019,11,2,0,66846
53393586,13,13113,2019,11,2,1,20618
53393586,13,13113,2019,11,2,2,44075
53393595,13,13113,2019,11,0,0,69682
53393595,13,13113,2019,11,0,1,28450
53393595,13,13113,2019,11,0,2,50617
53393595,13,13113,2019,11,1,0,84423
53393595,13,13113,2019,11,1,1,25914
53393595,13,13113,2019,11,1,2,58320
53393595,13,13113,2019,11,2,0,79509
53393595,13,13113,2019,11,2,1,26759
53393595,13,13113,2019,11,2,2,55752
53393596,13,13113,2019,11,0,0,91736
53393596,13,13113,2019,11,0,1,21773
53393596,13,13113,2019,11,0,2,55798
53393596,13,13113,2019,11,1,0,130402
53393596,13,13113,2019,11,1,1,25590
53393596,13,13113,2019,11,1,2,81509
53393596,13,13113,2019,11,2,0,117513
53393596,13,13113,2019,11,2,1,24318
53393596,13,13113,2019,11,2,2,72939
53394505,13,13113,2019,11,0,0,15587
53394505,13,13113,2019,11,0,1,7060
53394505,13,13113,2019,11,0,2,10589
53394505,13,13113,2019,11,1,0,13329
53394505,13,13113,2019,11,1,1,7421
53394505,13,13113,2019,11,1,2,11119
53394505,13,13113,2019,11,2,0,14081
53394505,13,13113,2019,11,2,1,7301
53394505,13,13113,2019,11,2,2,10942
53394506,13,13113,2019,11,0,0,46654
53394506,13,13113,2019,11,0,1,12205
53394506,13,13113,2019,11,0,2,27141
53394506,13,13113,2019,11,1,0,48069
53394506,13,13113,2019,11,1,1,13422
53394506,13,13113,2019,11,1,2,30746
53394506,13,13113,2019,11,2,0,47598
53394506,13,13113,2019,11,2,1,13017
53394506,13,13113,2019,11,2,2,29545
53393585,13,13113,2019,12,0,0,35322
53393585,13,13113,2019,12,0,1,26853
53393585,13,13113,2019,12,0,2,31776
53393585,13,13113,2019,12,1,0,77386
53393585,13,13113,2019,12,1,1,28144
53393585,13,13113,2019,12,1,2,53032
53393585,13,13113,2019,12,2,0,65174
53393585,13,13113,2019,12,2,1,27769
53393585,13,13113,2019,12,2,2,46861
53393586,13,13113,2019,12,0,0,41563
53393586,13,13113,2019,12,0,1,19889
53393586,13,13113,2019,12,0,2,30674
53393586,13,13113,2019,12,1,0,74695
53393586,13,13113,2019,12,1,1,21457
53393586,13,13113,2019,12,1,2,49057
53393586,13,13113,2019,12,2,0,65076
53393586,13,13113,2019,12,2,1,21002
53393586,13,13113,2019,12,2,2,43720
53393595,13,13113,2019,12,0,0,75514
53393595,13,13113,2019,12,0,1,31990
53393595,13,13113,2019,12,0,2,56265
53393595,13,13113,2019,12,1,0,84718
53393595,13,13113,2019,12,1,1,27008
53393595,13,13113,2019,12,1,2,60467
53393595,13,13113,2019,12,2,0,82046
53393595,13,13113,2019,12,2,1,28454
53393595,13,13113,2019,12,2,2,59247
53393596,13,13113,2019,12,0,0,89844
53393596,13,13113,2019,12,0,1,23361
53393596,13,13113,2019,12,0,2,56325
53393596,13,13113,2019,12,1,0,124174
53393596,13,13113,2019,12,1,1,25059
53393596,13,13113,2019,12,1,2,78616
53393596,13,13113,2019,12,2,0,114207
53393596,13,13113,2019,12,2,1,24566
53393596,13,13113,2019,12,2,2,72144
53394505,13,13113,2019,12,0,0,13815
53394505,13,13113,2019,12,0,1,6932
53394505,13,13113,2019,12,0,2,10380
53394505,13,13113,2019,12,1,0,12478
53394505,13,13113,2019,12,1,1,7342
53394505,13,13113,2019,12,1,2,10947
53394505,13,13113,2019,12,2,0,12866
53394505,13,13113,2019,12,2,1,7223
53394505,13,13113,2019,12,2,2,10782
53394506,13,13113,2019,12,0,0,51636
53394506,13,13113,2019,12,0,1,13418
53394506,13,13113,2019,12,0,2,30533
53394506,13,13113,2019,12,1,0,49779
53394506,13,13113,2019,12,1,1,13906
53394506,13,13113,2019,12,1,2,32182
53394506,13,13113,2019,12,2,0,50318
53394506,13,13113,2019,12,2,1,13764
53394506,13,13113,2019,12,2,2,31703
53393585,13,13113,2020,01,0,0,31863
53393585,13,13113,2020,01,0,1,24004
53393585,13,13113,2020,01,0,2,28435
53393585,13,13113,2020,01,1,0,75941
53393585,13,13113,2020,01,1,1,26598
53393585,13,13113,2020,01,1,2,50955
53393585,13,13113,2020,01,2,0,61722
53393585,13,13113,2020,01,2,1,25761
53393585,13,13113,2020,01,2,2,43691
53393586,13,13113,2020,01,0,0,33758
53393586,13,13113,2020,01,0,1,17605
